run num,std dev,max pcr,min pcr,avg pcr,total pcr,num terminal,k,target pcr,canvas size
10,2031.6857961896494,7948.036814857724,688.1631563146244,3788.6800836777197,108039.83026368807,20,1,0.0,500
10,2023.229149269464,7468.733278915481,507.4185741475787,3640.2668733706405,106978.33487935763,20,2,0.0,500
10,1726.6113289529312,6736.686093924803,640.5984749163829,3384.9780307230285,101137.66769723206,20,3,0.0,500
10,1719.270253044337,5836.113663511349,372.31562886523506,3251.69642150048,103904.34929222162,20,4,0.0,500
10,1306.7684905957208,5002.422435564049,403.03010891913107,2949.1603005137417,96924.03038283807,20,5,0.0,500
10,1048.711577884846,4289.820764546684,684.5436102425033,2594.253203250787,87095.73066178427,20,6,0.0,500
10,821.5932832079549,3571.3129912718664,711.1104440870843,2411.0946854624426,84881.92020890905,20,7,0.0,500
9,787.3337159019018,3354.4631891976114,567.4022458155491,2230.649476266011,81391.70765529903,20,9,0.0,500
10,785.6098801557924,3236.831529346678,409.2249209184729,2171.720303974146,81576.803472281,20,10,0.0,500
10,568.3582014671542,2625.8404189295434,382.8486801381228,1811.713909982945,71720.47156223888,20,12,0.0,500
10,492.01147189779533,2453.6240417692534,661.9721875283273,1839.3071347566286,73401.29022246557,20,13,0.0,500
10,448.3061689765947,2227.461293870761,509.82148661010535,1607.217861532373,67526.1246084956,20,14,0.0,500
10,447.47275222617645,2108.028433806049,485.0981984718149,1527.8010815771972,66102.27713368372,20,15,0.0,500
10,401.91707046592626,1979.1420587352502,384.8109973846766,1445.6087354139077,62966.05755940608,20,16,0.0,500
10,354.35930602871616,1783.4890209160683,374.11303507885555,1344.2125104716815,60172.470530338076,20,17,0.0,500
10,343.1857808554994,1792.6995002479584,460.6393075949758,1336.393447195771,60538.18611512203,20,18,0.0,500
10,363.83290466692097,1736.7147424535651,350.6559830894406,1277.7780484851123,58769.0111993989,20,19,0.0,500
9,335.2494527385255,1709.2169299291274,356.87083415460086,1270.0840589564068,60549.97612183807,20,20,0.0,500
